ITEM NAME,MODEL CODE,KEY WORD,PART NO.,ITEM DESCRIPTION,HSN CODE,MAKE ,ITEM UNIT,IMAGE,PRICE,STOCK,ITEM WEIGHT,TAX,REMARK,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD (PT-100) SENSOR,APWS-700,"RESISTANCE TEMPERATURE DETECTOR, TEMPERATURE SENSOR, PT-100",,"MAKE: AAVAD
RTD SENSOR
TYPE: PT-100
MODEL : APWS
CONFIGURATION: SIMPLEX
NO. OF WIRE IN SIMPLEX:
TOTAL NO.OF WIRES:3
LENGTH:700 MM
OD: 6MM
MOC: SS 316
PROCESS CONNECTION: ADJUSTABLE
PROCESS CONNECTION SIZE :1/2"" NPT
PROTECTION HEAD: DIE CAST ALLUMINIUM WEATHERPROOF IP-65
HEAD CABLE ENTRY CONNECTION : ? ?ET
TEMPERATURE RANGE : -50 TO 400 øC",9026,AAVAD INSTRUMENT,NOS,,530,10,340 GRM,18%,STRAIGHT ,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD (PT-100) SENSOR,APWS-520,"RESISTANCE TEMPERATURE DETECTOR,TEMPERATURE SENSOR,PT-100",,"MAKE: AAVAD
RTD SENSOR
TYPE: PT-100
MODEL : APWS
CONFIGURATION: SIMPLEX
NO. OF WIRE IN SIMPLEX:
TOTAL NO.OF WIRES:3
LENGTH:520 MM
OD: 6MM
MOC: SS 316
PROCESS CONNECTION: ADJUSTABLE
PROCESS CONNECTION SIZE :1/2"" NPT
PROTECTION HEAD: DIE CAST ALLUMINIUM WEATHERPROOF IP-65
HEAD CABLE ENTRY CONNECTION : ? ?ET
TEMPERATURE RANGE : -50 TO 400 øC",9026,AAVAD INSTRUMENT,NOS,,570,10,340 GRM,18%,FLEXIBLE,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD (PT-100) SENSOR,APWS-630,"RESISTANCE TEMPERATURE DETECTOR,TEMPERATURE SENSOR,PT-100",,"MAKE: AAVAD
RTD SENSOR
TYPE: PT-100
MODEL : APWS
CONFIGURATION: SIMPLEX
NO. OF WIRE IN SIMPLEX:
TOTAL NO.OF WIRES:3
LENGTH:630 MM
OD: 6MM
MOC: SS 316
PROCESS CONNECTION: ADJUSTABLE
PROCESS CONNECTION SIZE :1/2"" NPT
PROTECTION HEAD: DIE CAST ALLUMINIUM WEATHERPROOF IP-65
HEAD CABLE ENTRY CONNECTION : ? ?ET
TEMPERATURE RANGE : -50 TO 400 øC",9026,AAVAD INSTRUMENT,NOS,,600,10,340 GRM,18%,MI,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD (PT-100) SENSOR,APWS-750,"RESISTANCE TEMPERATURE DETECTOR, TEMPERATURE SENSOR, PT-100",,"MAKE: AAVAD
RTD SENSOR
TYPE: PT-100
MODEL : APWS
CONFIGURATION: SIMPLEX
NO. OF WIRE IN SIMPLEX:
TOTAL NO.OF WIRES:3
LENGTH:750 MM
OD: 6MM
MOC: SS 316
PROCESS CONNECTION: ADJUSTABLE
PROCESS CONNECTION SIZE :1/2"" NPT
PROTECTION HEAD: DIE CAST ALLUMINIUM WEATHERPROOF IP-65
HEAD CABLE ENTRY CONNECTION : ? ?ET
TEMPERATURE RANGE : -50 TO 400 øC",9026,AAVAD INSTRUMENT,NOS,,530,10,340 GRM,18%,STRAIGHT ,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRARED THERMOMETER,MT-4,"TEMPERATURE GUN, PORTABLE THRMOMETER",IR-MT-4,"INFRARED GUN
MAKE : RAYTEK
MODEL : MT ? 4
TEMPERATURE RANGE : 18ø TO 400ø C
ACCURACY : 1øC TO 275 øC, +? 2%
RESPONCE TIME : 500M SEC/95% RESPONSE
SPECTRAL RESPONSE: 7?12? M
EMMISIVITY : PRE ? SET 0.95
AMBIENT OPERATING RANGE : 0 ? 50ø C
POWER : 9 V ALKALINE OR NICD BATTERIES
DISTANCE TO SPOT RATIO : 8 : 1

",9025,RAYTEK,NOS,,4200,,,18%,NOW FLUKE ,,,,,,,,,,,,,,,,,,,,,,,,,,
ELECTROMAGNETIC FLOWMETER,AMAG-I-25,"MAGFLOW, EMAG , ",AMAG-I-25-AC,"MODEL:AMAG?I
SERVICE : PLS SPECIFY
CONDUCTIVITY : ò 10 ?S/CM
OUTPUT : 4?20 MA ISOLATED,RS ? 485 ,PULSE
DISPLAY : LCD 16X4 LINE
9 DIGIT TOTALIZED FLOW
ACCURACY : +/? 0.5 % OF READING
REPEATIBILITY : +/?1%
PROCESS TEMPERATURE: 0 C? 150 øC
PROCESS PRESSURE: MAX : 10 KG/CM2
INTERNAL : PTFE LINNING
ELECTRODE MOC : SS 316
POWER SUPPLY : 230 V AC
RESPONSE TIME : 0.3 SEC
PROCESS CONNECTION : ASA 150 FLANGED MS
OPERATING TEMPERATURE : 55 C
ELECTRONICS HOUSING: DIE CAST ALUMINUM, IP 65
EMPTY PIPE DETECTION: YES
BACK LIGHT LCD: YES
VELOCIY :0.3 TO 10 M/S
MEASURING UNIT : SELECTABLE
KG/H,M3/H,L/H,L/M,L/S,KG/M,KG/S
LINE SIZE: 25 MM",9026,AAVAD INSTRUMENT,NOS,,"25,000",,,18%,230V AC SUPPLY,,,,,,,,,,,,,,,,,,,,,,,,,,
ELECTROMAGNETIC FLOWMETER,AMAG-I-40,"MAGFLOW, EMAG , ",AMAG-I-40-AC,"MODEL:AMAG?I
SERVICE : PLS SPECIFY
CONDUCTIVITY : ò 10 ?S/CM
OUTPUT : 4?20 MA ISOLATED,RS ? 485 ,PULSE
DISPLAY : LCD 16X4 LINE
9 DIGIT TOTALIZED FLOW
ACCURACY : +/? 0.5 % OF READING
REPEATIBILITY : +/?1%
PROCESS TEMPERATURE: 0 C? 150 øC
PROCESS PRESSURE: MAX : 10 KG/CM2
INTERNAL : PTFE LINNING
ELECTRODE MOC : SS 316
POWER SUPPLY : 230 V AC
RESPONSE TIME : 0.3 SEC
PROCESS CONNECTION : ASA 150 FLANGED MS
OPERATING TEMPERATURE : 55 C
ELECTRONICS HOUSING: DIE CAST ALUMINUM, IP 65
EMPTY PIPE DETECTION: YES
BACK LIGHT LCD: YES
VELOCIY :0.3 TO 10 M/S
MEASURING UNIT : SELECTABLE
KG/H,M3/H,L/H,L/M,L/S,KG/M,KG/S
LINE SIZE: 40 MM",9026,AAVAD INSTRUMENT,NOS,,"27,000",,,18%,230V AC SUPPLY,,,,,,,,,,,,,,,,,,,,,,,,,,
ELECTROMAGNETIC FLOWMETER,AMAG-I-50,"MAGFLOW, EMAG , ",AMAG-I-50-AC,"MODEL:AMAG?I
SERVICE : PLS SPECIFY
CONDUCTIVITY : ò 10 ?S/CM
OUTPUT : 4?20 MA ISOLATED,RS ? 485 ,PULSE
DISPLAY : LCD 16X4 LINE
9 DIGIT TOTALIZED FLOW
ACCURACY : +/? 0.5 % OF READING
REPEATIBILITY : +/?1%
PROCESS TEMPERATURE: 0 C? 150 øC
PROCESS PRESSURE: MAX : 10 KG/CM2
INTERNAL : PTFE LINNING
ELECTRODE MOC : SS 316
POWER SUPPLY : 230 V AC
RESPONSE TIME : 0.3 SEC
PROCESS CONNECTION : ASA 150 FLANGED MS
OPERATING TEMPERATURE : 55 C
ELECTRONICS HOUSING: DIE CAST ALUMINUM, IP 65
EMPTY PIPE DETECTION: YES
BACK LIGHT LCD: YES
VELOCIY :0.3 TO 10 M/S
MEASURING UNIT : SELECTABLE
KG/H,M3/H,L/H,L/M,L/S,KG/M,KG/S
LINE SIZE: 50 MM",9026,AAVAD INSTRUMENT,NOS,,"30,000",,,18%,230V AC SUPPLY,,,,,,,,,,,,,,,,,,,,,,,,,,
ELECTROMAGNETIC FLOWMETER,AMAG-I-65,"MAGFLOW, EMAG , ",AMAG-I-65-AC,"MODEL:AMAG?I
SERVICE : PLS SPECIFY
CONDUCTIVITY : ò 10 ?S/CM
OUTPUT : 4?20 MA ISOLATED,RS ? 485 ,PULSE
DISPLAY : LCD 16X4 LINE
9 DIGIT TOTALIZED FLOW
ACCURACY : +/? 0.5 % OF READING
REPEATIBILITY : +/?1%
PROCESS TEMPERATURE: 0 C? 150 øC
PROCESS PRESSURE: MAX : 10 KG/CM2
INTERNAL : PTFE LINNING
ELECTRODE MOC : SS 316
POWER SUPPLY : 230 V AC
RESPONSE TIME : 0.3 SEC
PROCESS CONNECTION : ASA 150 FLANGED MS
OPERATING TEMPERATURE : 55 C
ELECTRONICS HOUSING: DIE CAST ALUMINUM, IP 65
EMPTY PIPE DETECTION: YES
BACK LIGHT LCD: YES
VELOCIY :0.3 TO 10 M/S
MEASURING UNIT : SELECTABLE
KG/H,M3/H,L/H,L/M,L/S,KG/M,KG/S
LINE SIZE:65 MM",9026,AAVAD INSTRUMENT,NOS,,"30,000",,,18%,230V AC SUPPLY,,,,,,,,,,,,,,,,,,,,,,,,,,
ELECTROMAGNETIC FLOWMETER,AMAG-I-80,"MAGFLOW, EMAG , ",AMAG-I-80-AC,"MODEL:AMAG?I
SERVICE : PLS SPECIFY
CONDUCTIVITY : ò 10 ?S/CM
OUTPUT : 4?20 MA ISOLATED,RS ? 485 ,PULSE
DISPLAY : LCD 16X4 LINE
9 DIGIT TOTALIZED FLOW
ACCURACY : +/? 0.5 % OF READING
REPEATIBILITY : +/?1%
PROCESS TEMPERATURE: 0 C? 150 øC
PROCESS PRESSURE: MAX : 10 KG/CM2
INTERNAL : PTFE LINNING
ELECTRODE MOC : SS 316
POWER SUPPLY : 230 V AC
RESPONSE TIME : 0.3 SEC
PROCESS CONNECTION : ASA 150 FLANGED MS
OPERATING TEMPERATURE : 55 C
ELECTRONICS HOUSING: DIE CAST ALUMINUM, IP 65
EMPTY PIPE DETECTION: YES
BACK LIGHT LCD: YES
VELOCIY :0.3 TO 10 M/S
MEASURING UNIT : SELECTABLE
KG/H,M3/H,L/H,L/M,L/S,KG/M,KG/S
LINE SIZE: 80 MM",9026,AAVAD INSTRUMENT,NOS,,"30,000",,,18%,230V AC SUPPLY,,,,,,,,,,,,,,,,,,,,,,,,,,
