COMPANY NAME,CONTACT PERSON,LANDLINE NO,MO NO,EMAIL,ADDRESS,
"A L M Engineering & Instrumentation Pvt. Ltd.,",Mr.Faraz Khan,022-25126500,9167991466,"info@almontazar.com,sales@almontazar.com","Unit No.: 302, Damji Shamji Industrial Complex, Next to Madhuban Toyota, L. B. S. Marg, Kurla (West), Mumbai ? 400 070.",
ACT ENTERPRISE,MR.Yogesh J Sonavane,,8879490008/9373226606,yogesh.actenterprisese@gmail.com/sales.actenterprises@gmail.com,"FLAT NO 1,GROUND  FLOOR ,PLOT NO-543,HERAMB APARTMENT,KHER SECTION ,OPP.GANPATI MANDIR  SHIV MANDIR ROAD ,AMBERNATH (E)-421501",
AKVALO INSTRUMENTS PVT. LTD.ÿ,MS.SEJAL PATELÿ- SR.SALES CO-ORDINATOR,079-23287234 /65727233,9327011640,"sales3@akvalo.com,sales@akvalo.com",B-130-131ÿIÿG.I.D.CÿIÿELECTRONIC ZONEÿIÿSECTOR - 25 IÿGANDHINAGAR - 382025ÿIÿGUJARAT I INDIA I,
AMBETRONICS ENGINEERS PRIVATE LIMITED,MR.AMIT SHINDE-JR.ACCOUNTANT - ACCOUNT DEPT,022-66995525/28371143,,account1@ambetronics.com ,"17-B, TARUN INDUSTRIAL ESTATE, MOGRA PADA, NEWNAGARDAS ROAD, ANDHERI (E), MUMBAI ? 400069, INDIA",
ANAND ASSOCIATES,mr.Anand doshi,079-25622967,9824251454,anand.doshi@adcs.co.in,"2ND FLOOR, E 60, B G TOWER,ÿOPPOAITE DELHI GATE,ÿSHAHIBAUG,ÿAHMEDABAD - 380004ÿ",
APTUS SOLUTIONS,MR.JAYESH PATEL,"079-25896107,25890103",9375020632,"aptsolad1@yahoo.com,aptsolsales@gmail.com","B/48/1 KARNAVATI IND ESTATE,PLOT NO : 1601/02 PHASE III,NR TRIKAMPURA PATIA,GIDC VATVA ,AHMEDABAD",
BRINDA INDUSTRIES,MR.laxman/bipin sir ,2764 - 233434,9825838403/9924012087,lagauges@gmail.com,"C-1 / 1301 G.I.D.C CHHATRAL - 382729,TAL KALOL, DIST. GANDHINAGAR, GUJARAT (INDIA)",
BROIL SENSOTEK INDUSTRIES,"MR. VIPUL PATEL -SALES, vishal",2762-224411,"9426418181, 8306681666","vipul@broiltech.com, vishal@broiltech.com","I 195, GIDC - 2 ,(DEDIYASAN ),MESHANA - 384002, GUJARAT, INDIA",
CARE PROCESS INSTRUMENTS,MR.LAVJI VANIYA/Mr.rakesh patel/hiral madam,"(+91)  40083469, 40081550. ","09327436412 / 9327436411,7575808283","care_process@yahoo.co.in,carepiahd@gmail.com,kr_process@yahoo.in","SF-5, 6, SHREE HARI COMPLEX, OPP. SAMEER HOTEL, NEAR BOMBAY CONDUCTOR, PHASE?I, G.I.D.C., VATVA, AHMEDABAD ? 382 445.",
CONTROLMATIC (GUJARAT),MR.DIVYESH JETHAVA,"0265-2322906,2331649ÿ",,sales@controlmatic.in,"202, IVORY TERRACE, R.C. DUTT ROAD,VADODARAÿ(BARODA) -ÿ390 005",
DIGITAL MARKETING SYSTEMS PVT LTD,MR.PRAFULLA JAIN,091731-3046800 ,,prafulla@digitalcontrols.org,"122, KANCHAN BAGH, INDORE - 452001,",
EXCELLA ELECTRONICS,MR.NILESH PATEL ,,9375001119,nilesh@excellaelectronics.com,"R.O.:69 GOLDON INDUSTRIAL PARK ,NEAR KATHWADA RING ROAD CIRCLE ,NEAR A I A ENGINEERING ,ODHAV ,AHMEDABD =382430",
FIELDMAN CONTROL SYSTEM,MS.AMITA (SALES CO-ORDINATOR),079-27436112/3,9727775655,sales@fcsautomation.com,"201, SHANTIMALL, NR. SATTADHAR CROSS ROAD,GHATLODIYA, AHMEDABAD - 380061.",
FLOWTECH MEASURING INSTRUMENTS PVT. LTD.,MR.KEYUR/praful/rakesh,"265-6508171, 8469769988",8469769988/9428876496 / 8469769988,flowtech01@gmail.com,,
FORBES MARSHALL PVT. LTD. ,MR.ASHISH SUTARIYA,97129 68617 ,,asutariya@forbesmarshall.com,"4, SHETOOR BUNGLOWS, OPP. DRIVE-IN PETROL PUMP NR.CHANDANDWAR HOSPITAL, T.V.TOWER AHMEDABAD-380054 ",
FUTURISTIC TECHNOLOGIES,MR.BHAVESH VIRJA,079 - 40027338,9737977735,"sales@futuristictechnologies.co.in,sales3@futuristictechnologies.co.in","124, SUNRISE MALL, NEAR SWAMINARAYAN MANDIR, JUDGES BUNGALOW ROAD, VASTRAPUR, AHMEDABAD-380015 STATE GUJARAT, INDIA",
GUIDEÿELECTRICALS,MR.MANISH,079 2213 6951,9426326202,,"KOLIWADA NI KHADKI, NEAR UNION BANK OF INDIA, GANDHI ROAD, GANDHI ROAD, AHMEDABAD, GUJARAT 380001",
